Sample	X_reads	Y_reads	Species	Read_ratio	Sex	Y_cov	X_cov	Cov_ratio	Group	Nr
LER.ALM.1584	75606	2839	LE_parental	0.03754992989974341	F	0.012689140375325017	0.08389282596611566	0.15125417732918145	LER_ALM	1584
LER.ALM.1591	47678	2123	LE_parental	0.044527874491379675	F	0.009488920400427972	0.05290376632029816	0.17936190673039576	LER_ALM	1591
LER.ALM.1592	9038	5206	LE_parental	0.5760123921221509	M	0.02326863853256148	0.010028613616402844	2.320224850871031	LER_ALM	1592
LER.ALM.1595	4003	1415	LE_parental	0.35348488633524855	M	0.0063244570732951385	0.004441750421161826	1.4238659252810637	LER_ALM	1595
LER.ALM.1599	38428	19818	LE_parental	0.5157177058394921	M	0.08857815567389615	0.04263991635883254	2.0773529415131664	LER_ALM	1599
LER.ALM.1600	45776	13544	LE_parental	0.2958755679832227	M	0.060536004664812265	0.05079329684714058	1.1918108967604877	LER_ALM	1600
LER.ALM.1601	42006	1882	LE_parental	0.04480312336332905	F	0.008411751386531061	0.046610084484467566	0.1804706316148002	LER_ALM	1601
LER.ALM.1602	6391	199	LE_parental	0.031137537161633547	F	8.894466131347934e-4	0.007091488119321816	0.12542453687701507	LER_ALM	1602
LER.ALM.1603	60183	2391	LE_parental	0.03972882707741389	F	0.0106867681005291	0.06677938186279844	0.16003095270461767	LER_ALM	1603
LER.ALM.1604	161780	628	LE_parental	0.0038818148102361233	F	0.0028068968494907045	0.17951196181253065	0.015636266358795774	LER_ALM	1604
LER.LAS.1673	664	404	LE_parental	0.608433734939759	M	0.0018057107120927464	7.367779864230459e-4	2.4508206615390606	LER_LAS	1673
LER.LAS.1674	378	172	LE_parental	0.455026455026455	M	7.687679269305751e-4	4.1943084166854117e-4	1.8328836379135434	LER_LAS	1674
LER.LAS.1678	34030	913	LE_parental	0.026829268292682926	F	0.004080727426090785	0.0377598718041811	0.10807047882082407	LER_LAS	1678
LER.LAS.1679	201287	4427	LE_parental	0.021993472007630896	F	0.019786834956521258	0.22334914239930065	0.08859149734789049	LER_LAS	1679
LER.LAS.1680	578	379	LE_parental	0.6557093425605537	M	0.0016939711878295814	6.413519219164466e-4	2.641250661209162	LER_LAS	1680
LER.LAS.1681	22944	10936	LE_parental	0.4766387726638773	M	0.0488793374936789	0.025458786326039706	1.9199398144005093	LER_LAS	1681
LER.LAS.1682	22375	13087	LE_parental	0.5848938547486033	M	0.05849340616128161	0.024827420852734414	2.356000106021457	LER_LAS	1682
LER.LAS.1683	107528	52491	LE_parental	0.48816122312327953	M	0.23461277472391176	0.11931364958448384	1.9663531837385184	LER_LAS	1683
LER.LAS.1684	6710	5079	LE_parental	0.756929955290611	M	0.0227010017493046	0.007445452242317225	3.0489755370775753	LER_LAS	1684
LER.LAS.1685	26168	420	LE_parental	0.016050137572607766	F	0.001877224007621172	0.02903615413963594	0.06465126196098603	LER_LAS	1685
LER.LAS.1686	34060	678	LE_parental	0.019906048150322958	F	0.0030303758980170345	0.037793159966218286	0.08018318396042458	LER_LAS	1686
LER.LAS.1687	47444	778	LE_parental	0.01639828007756513	F	0.0034773339950696946	0.05264411865640811	0.06605360833876199	LER_LAS	1687
LER.LAS.1688	12189	367	LE_parental	0.03010911477561736	F	0.001640336216183262	0.013524980235708594	0.1212819677068698	LER_LAS	1688
LER.LAS.1689	43171	937	LE_parental	0.02170438488800352	F	0.004187997369383424	0.047902774776911614	0.08742703087425267	LER_LAS	1689
LER.LAS.1690	208568	3818	LE_parental	0.01830578036899237	F	0.017064860145470557	0.23142817932572565	0.07373717494209064	LER_LAS	1690
LER.LAS.1692	2199	330	LE_parental	0.15006821282401092	F	0.001474961720273778	0.0024400222773257197	0.6044869893115671	LER_LAS	1692
LER.LAS.1693	111743	1711	LE_parental	0.015311921104677698	F	0.007647453040571012	0.12399063635070845	0.06167766587583383	LER_LAS	1693
LER.PYR.1545	8913	4702	LE_parental	0.5275440368001795	M	0.021015969723416073	0.009889912941247903	2.1249903662715446	LER_PYR	1545
LER.PYR.1546	144086	3058	LE_parental	0.021223436003497912	F	0.013667978607870342	0.15987860384299846	0.08548972957815144	LER_PYR	1546
