Sample #	Day	Month	Year	Place	ETRS-TM 35FIN		Cause of Death	Hunter's evaluation		Sex	Age	Sender	Notes	Tissue -80 deg	Extracted DNA -20 deg	Purified DNA	MtDNA	Results checked	Nuclear DNA					NGS/Vienna	SNP chip/Sweden
					N	E		Species	Code 1-5								Cytb		Tshd	Tg	Mgf	Sptbn1	Prck1		
236	2	9	2013	Kuhmo, Lammasperä, Tyvelä	7105362	638496	hunted	LT	1			Kauko Huotari		1	1		LT	1							
237			2013	Kuhmo, Lammasperä, Tyvelä	7105362	638496	hunted	LT	1			Kauko Huotari		1	1		LT	1							
238	22	11	2013	Kuhmo, Lammasperä, Tyvelä	7105362	638496	hunted	LT	1			Kauko Huotari		1	1		LE	1							1
239	3	12	2013	Kuhmo, Korpisalmi, Purnuvaara	7137320	605558	hunted	LT	1			Kauko Huotari		1	1		X	1							
240	9	2	2014	Joensuu, Siikavaara	6973022	670853	hunted	LT	1			Jaakko Pohjoismäki		1	1		LT	1							
241	25	1	2014	Sastamala, Seposentie 10	6815749	294006	hunted	LE	5	M		Mika Lauhamo		1	1		LE	1							
242	3	9	2014	Kutala, pelto	6815648	293895	hunted	LE	5	F		Mika Lauhamo		1	1		LE	1							
243			2014	Lappeenranta	6769424	563267	hunted	LE	5			Riku Aapro		1	1		LE	1							
244			2014	Lappeenranta	6769424	563267	hunted	LE	5			Riku Aapro		1	1	1	LE	1							
245			2014	Lappeenranta	6769424	563267	hunted	LE	5			Riku Aapro		1	1		LT	1							
246			2014	Lappeenranta	6769424	563267	hunted	LE	5			Riku Aapro		1	1		LE	1							
247			2014	Lappeenranta	6769424	563267	hunted	LT	1			Riku Aapro		1	1		LT	1							
248			2014	Lappeenranta	6769424	563267	hunted	LT	1			Riku Aapro		1	1	1	LT	1							
249			2014	Lappeenranta	6769424	563267	hunted	LT	1			Riku Aapro		1	1		LT	1							
250			2014	Lappeenranta	6769424	563267	hunted	LT	1			Riku Aapro		1	1		LT	1							
251			2014	Lappeenranta	6769424	563267	hunted	LT	1			Riku Aapro		1	1		LT	1							
252			2014	Lappeenranta	6769424	563267	hunted	LT	1			Riku Aapro		1	1		LT	1							
253			2014	Lappeenranta	6769424	563267	hunted	LT	1			Riku Aapro		1	1		LT	1							
254			2014	Lappeenranta	6769424	563267	hunted	LT	1			Riku Aapro		1	1		LT	1							
255			2014	Lappeenranta	6769424	563267	hunted	LT	1			Riku Aapro		1	1		LT	1							
256	4	2	2014	Elimäki, Villikkala	6729651	476977	hunted	LE	5			Paavo Arola		1	1		LE	1							1
257	6	2	2014	Pyhtää, Hirvikoski	6718662	480610	hunted	LT	1			Paavo Arola		1	1	1	LT	1							
258	23	2	2014	Yli-Olhava	7270488	434175	hunted	LT	1			Janne Ervasti		1	1		LT	1							
259	24	1	2014	Yli-Olhava	7270488	434175	hunted	LT	1			Janne Ervasti		1	1		LT	1							
260	9	11	2013	Yli-Olhava	7270488	434175	hunted	LT	1			Janne Ervasti		1	1		LT	1							
261	19	9	2013	Yli-Olhava	7270488	434175	hunted	LT	1			Janne Ervasti		1	2	1	X	1							
262	9	2	2014	Yli-Olhava	7270488	434175	hunted	LT	1			Janne Ervasti		1	1		LT	1							
263	30	11	2013	Rautjärven Latvajärvi, Longanmäki	6810219	614949	hunted	LE?	3			Jorma Sorvali		1	1	1	LT	1							
264	25	1	2014	Ruokolahti, Lassila, Savisienkylä	6788267	610248	hunted	LE	5			Jorma Sorvali	DNA sakkainen	1	1	1	LE	1							
265	4	12	2014	Ruokolahti, Lassila, Vaitti	6786867	607878	hunted	LT	1			Jorma Sorvali		1	1		LT	1							
266	13	2	2014	Pedersören kunta, Lövö, Vilttorpet	7055720	288293	hunted	LT	1			Mattias Kanchos		1	1		LT	1							1
267	11	2	2014	Pedersören kunta, Sundby, Degernäs	7062432	282289	hunted	LT	1			Mattias Kanchos		1	1		LT	1							
268	12	3	2014	Pedersören kunta, Pännäinen, keskusta	7059510	291505	hunted	LE	5			Mattias Kanchos		1	1	1	LE	1							
269	17	11	2013	Tuusniemi	6965565	575862	hunted	LT	1			Heidi Lukin		1	1		LT	1							
270	12	1	2014	Tuusniemi	6965565	575862	hunted	LT	1			Heidi Lukin		1	1		LT	1							
271	8	12	2013	Rautalampi?	6943618	491165	hunted	LE?	3			Heidi Lukin		1	1		LT	1							
272	24	10	2013	Tuusniemi	6965565	575862	hunted	LT	1			Heidi Lukin		1	1		LT	1							
273	28	9	2013	Rantasalmi	6882538	567955	hunted	LE?	3			Heidi Lukin		1	1		LT	1							
274	13	10	2013	Rantasalmi	6882538	567955	hunted	LT	1			Heidi Lukin		1	1		LT	1							
275	13	11	2013	Tuusniemi	6965565	575862	hunted	LT	1			Heidi Lukin		1	1		LT	1							
276	2	2	2014	Sotkamo, Kiviranta	7103390	558062	hunted	LT	1			Ilkka Määttä		1	1		X	1							
277	2	2	2014	Sotkamo, Kiviranta	7103390	558062	hunted	LT	1			Ilkka Määttä		1	1		LT	1							
278	23	2	2014	Sotkamo, Vaarankylä	7107958	559442	hunted	LE	5			Ilkka Määttä		1	1		LE	1							
279	29	9	2013	Sotkamo, Laajanniemi	7107216	564053	hunted	LE	5			Ilkka Määttä	DNA sakkainen	1	1		X	1							
280	22	12	2013	Sotkamo, Kantola (?)	7112566	567273	hunted	LE	5			Ilkka Määttä		1	1	1	LE	1							
281	6	12	2013	Sotkamo, Kiviranta, Laitila	7101858	558570	hunted	LT	1			Ilkka Määttä		1	1		LT	1							
282	6	10	2013	Sotkamo, Paakinmäki	7130232	558623	hunted	LE?	3			Ilkka Määttä	NÄYTE LOPPUNUT! Pakastimessa eristettyä DNA:ta		1		LT	1							
283	29	12	2013	Sotkamo, Laajanniemi	7107216	564053	hunted	LT	1			Ilkka Määttä		1	1		LT	1							
284	29	9	2013	Sotkamo, Laajanniemi	7107216	564053	hunted	LE	5			Ilkka Määttä	DNA sakkainen	1	1		LE	1							
285	3	11	2013	Sotkamo, Laajanniemi	7107216	564053	hunted	LT	2			Ilkka Määttä	DNA sakkainen	1	1		LT	1							
286	23	2	2014	Vuokatti, Tikantie	7114548	561431	hunted	LE	5			Ilkka Määttä		1	1		LE	1							
287		2	2014	Ylivieska	7107185	380504	hunted	LT	1			Miikka Moilanen		1	1		LT	1							
288		2	2014	Ylivieska	7107185	380504	hunted	LT	1			Miikka Moilanen		1	1		LT	1							
289		2	2014	Ylivieska	7107185	380504	hunted	LT	1			Miikka Moilanen		1	1		LT	1							
290	13	11	2013				hunted	LE	5			Miikka Moilanen		1	1		LE	1							
291	25	1	2014	Mynämäki	6738580	226317	hunted	LE	5			Miikka Moilanen		1	1		LE	1							
292	3	10	2013	Tikkala, Keski-Suomi	6891468	420169	hunted	LT	1			Marko Oksanen	DNA sakkainen	1	1		LT	1							
293	3	2	2014	Tikkala, Keski-Suomi	6891468	420169	hunted	LT	1			Marko Oksanen		1	1		LT	1							
294	13	10	2013	Nilsiä	7009163	554426	hunted	LT	1			Marko Oksanen		1	1		LT	1							
295	10	9	2013	Tikkala, Keski-Suomi	6891468	420169	hunted	LT	1			Marko Oksanen		1	1		LT	1							
296	6	2	2014	Nilsiä	7009163	554426	hunted	LT	1			Marko Oksanen		1	1		LT	1							
297	5	12	2013	Nilsiä	7009163	554426	hunted	LT	1			Marko Oksanen		1	1		LT	1							
298	11	11	2013	Hankasalmi	6917788	470848	hunted	LT	1			Marko Oksanen		1	1		LT	1							
299	5	9	2013	Hankasalmi	6917788	470848	hunted	LT	1			Marko Oksanen		1	1		LT	1							
300	30	10	2013	Tikkala, Keski-Suomi	6891468	420169	hunted	LT	1			Marko Oksanen		1	1		LT	1							
301	10	2	2014	Helsinki, Viikki	6677754	390525	hunted	LE	5			Antti Piironen		1	1		LE	1							
302	10	2	2014	Helsinki, Viikki	6677754	390525	hunted	LE	5			Antti Piironen		1	1		LE	1							
303	10	2	2014	Helsinki, Viikki	6677754	390525	hunted	LE	5			Antti Piironen		1	1		LE	1							
304	10	2	2014	Helsinki, Viikki	6677754	390525	hunted	LE	5			Antti Piironen		1	1		LE	1							
305	10	2	2014	Helsinki, Viikki	6677754	390525	hunted	LE	5			Antti Piironen		1	1		LE	1							
306	12	1	2014	Helsinki, Viikki	6677754	390525	hunted	LE	5			Antti Piironen		1	1		LE	1							
307	12	1	2014	Helsinki, Viikki	6677754	390525	hunted	LE	5			Antti Piironen		1	1	1	LE	1							
308	12	1	2014	Helsinki, Viikki	6677754	390525	hunted	LE	5			Antti Piironen		1	1		LE	1							
309	12	1	2014	Helsinki, Viikki	6677754	390525	hunted	LE	5			Antti Piironen		1	1		LE	1							
310	12	1	2014	Helsinki, Viikki	6677754	390525	hunted	LE	5			Antti Piironen		1	1		LE	1							
311			2014	Juva, Vehmaan kylä	6866416	538758	hunted	LT	1			Raimo Kokkonen		1	1		LT	1							
312			2014	Juva, Vehmaan kylä	6866416	538758	hunted	LE	5			Raimo Kokkonen		1	1		LE	1							
313	17	2	2014	Liperi, Vaivio	6952165	627103	hunted	LT	1			Seppo Pietarinen		1	1	1	LT	1							
314	4	2	2014	Joensuu, Pielisensuu, Onttola	6949115	638126	hunted	LT	1			Seppo Pietarinen		1	1		LT	1							
315	22	2	2014	Kotkan saaristo	6703258	496764	hunted	LT	1			Simo ja Paula Laukkanen	Näyte pilaantunut? DNA sakkainen	1	1	1	LT	1							
316	6	11	2013	Konnevesi, Välimäki	6953915	457655	hunted	LT	1			Elisa Helasniemi		1	1	1	LT	1							
317	13	10	2013	Konnevesi, Särkisalo	6963381	457180	hit by car	LT	2			Elisa Helasniemi		1	1		LT	1							
318	11	11	2013	Konnevesi, Särkisalo	6963381	457180	hunted	LT	1			Elisa Helasniemi		1	1		LT	1							
319	24	2	2014	Kangasniemi, Luusniemi	6871312	498858	hunted	LE	5			Elisa Helasniemi		1	1		LE	1							
320	11	11	2013	Konnevesi, Särkisalo	6963381	457180	hunted	LT	1			Elisa Helasniemi		1	1		LT	1							
321	27	1	2014	Konnevesi, Välimäki	6953915	457655	hunted	LT	1			Elisa Helasniemi	DNA sakkainen	1	1	1	LT	1							
322	27	10	2013	Konnevesi, Välimäki	6953915	457655	hunted	LT	1			Elisa Helasniemi		1	2		LT	1							
323	15	10	2013	Konnevesi, Välimäki	6953915	457655	hunted	LT	1			Elisa Helasniemi		1	1		LT	1							
324	9	2	2014	Heinlahti, Pyhtää	6704979	488500	hunted	LE	5			Antti Piironen		1	1		LE	1							
325	5	2	2014	Viikki, Helsinki	6677754	390525	hunted	LE	5			Antti Piironen		1	1	1	LE	1							
326	19	1	2014	Konnevesi, Välimäki	6953915	457655	hunted	LT	1			Ei lähettäjän tietoja		1	1		LT	1							
327	25	10	2014	Konnevesi, Välimäki	6953915	457655	hunted	LE	4			Ei lähettäjän tietoja		1	1	1	LE	1							
328	12	1	2014	Konnevesi, Välimäki	6953915	457655	hunted	LT	1			Ei lähettäjän tietoja		1	1		LT	1							
329	6	12	2013	Konnevesi, Välimäki	6953915	457655	hunted	LT	1			Ei lähettäjän tietoja		1	1		LT	1							
330	8	1	2014	Konnevesi, Välimäki	6953915	457655	hunted	LT	2			Ei lähettäjän tietoja	DNA sakkainen	1	1	1	LT	1							
331	24	9	2013	Konnevesi, Välimäki	6953915	457655	hunted	LT	1			Ei lähettäjän tietoja		1	1		LT	1							
332	22	9	2013	Konnevesi	6944270	463552	hunted	LE	5			Ei lähettäjän tietoja		1	1	1	X	1							
333	4	10	2013	Konnevesi, Särkisalo	6963381	457180	hunted	LT	1			Ei lähettäjän tietoja		1	1		LT	1							
334	11	11	2013	Konnevesi, Särkisalo	6963381	457180	hunted	LT	1			Ei lähettäjän tietoja		1	1		LT	1							
335	1	12	2013	Kangasniemi, Luusniemi	6871312	498858	hunted	LE	4			Ei lähettäjän tietoja	DNA sakkainen	1	1		LE	1							
336	14	2	2014	Limingan kylä	7188989	424215	hunted	LT	1			Jarmo Karjalainen		1	1		LT	1							
337	4	10	2014	Limingan kylä	7188989	424215	hunted	LE	5			Jarmo Karjalainen		1	2	1	X	1							
338	21	12	2013	Limingan kylä	7188989	424215	hunted	LE	5			Jarmo Karjalainen		1	2	1	LE	1							1
339	10	1	2014	Limingan kylä	7188989	424215	hunted	LE	5			Jarmo Karjalainen		1	1		LE	1							
340	18	11	2013	Limingan kylä	7188989	424215	hunted	LT	1			Jarmo Karjalainen		1	1		LT	1							
341	14	11	2013	Limingan kylä	7188989	424215	hunted	LT	1			Jarmo Karjalainen		1	1		LT	1							
342	27	11	2013	Limingan kylä	7188989	424215	hunted	LE	5			Jarmo Karjalainen		1	1		LE	1							
343	11	2	2014	Limingan kylä	7188989	424215	hunted	?	?			Jarmo Karjalainen		1	1		LT	1							
344	21	2	2014	Limingan kylä	7188989	424215	hunted	LE	3			Jarmo Karjalainen		1	1	1	LE	1							
345	24	2	2014	Limingan kylä	7188989	424215	hunted	LE	3			Jarmo Karjalainen		1	1		LE	1							
346	5	2	2014	Ii	7245385	424302	hunted	LE?	3			Kimmo Keltamäki	Pitkähkö häntä	1	1	1	LT	1							
347	28	2	2014	Yli-ii, Jakkukylä	7243971	435338	hunted	LT	1			Kimmo Keltamäki		1	1		LT	1							
348	4	2	2014	Kuivaniemi	7274130	416420	hunted	LT	1			Kimmo Keltamäki		1	1		LT	1							
349	22	2	2014	Kuivaniemi	7274130	416420	hunted	LT	1			Kimmo Keltamäki		1	1	1	LT	1							
350	2	2	2014	Puumala, Hiisniemi	6832342	562588	hunted	LT	1			Janne Hellsten	DNA sakkainen	1	1		LT	1							
351	24	2	2014	Puumala, Hiisniemi	6832342	562588	hunted	LT	1			Janne Hellsten		1	1	1	LT	1							
352	23	2	2014	Kotka, Pernoo	6715004	489389	hunted	LE	5			Janne Hellsten		1	1	1	LE	1							
353	19	2	2014	Ruokolahti, Hauklappi	6813553	580403	hunted	LT	1			Toni Tynkkynen		1	1		LT	1							
354	27	10	2013	Puumala, Hiisniemi	6832342	562588	hunted	LT	1			Janne Hellsten		1	1	1	LT	1							
355	21	10	2013	Puumala, Hiisniemi	6832342	562588	hunted	LT	1			Janne Hellsten		1	1	1	LT	1							
356	26	1	2014	Puumala, Pistohiekka	6825398	553593	hunted	LT	1			Janne Hellsten		1	1		LT	1							1
357	17	9	2013	Puumala, Vesiniemi	6829468	564993	hunted	LT	1			Janne Hellsten		1	1		LT	1							
358	17	9	2013	Puumala, Vesisaari	6830382	565485	hunted	LE	4			Janne Hellsten		1	1	1	LE	1							
359	13	11	2013	Siikajoki, Louhua	7158600	417188	hunted	LT	1			Jaakko Laitala		1	1		LT	1							
360	8	1	2014	Siikajoki, Louhua	7158600	417188	hunted	LT	1			Jaakko Laitala	Näyte kuiva	1	1		LT	1							
361	2	12	2013	Siikajoki, Louhua	7158600	417188	hunted	LT	1			Jaakko Laitala		1	1		LT	1							
362	31	10	2013	Siikajoki, Louhua, Ylipää	7158360	414378	hunted	LT	1			Jaakko Laitala		1	1		LT	1							
363			2014	Louhua, Laitamaa, Siikajoki	7156550	416318	hunted	LE	5			Jaakko Laitala		1	1		LE	1							1
364	13	11	2013	Siikajoki, Louhua	7158600	417188	hunted	LT	1			Jaakko Laitala		1	1		LT	1							
365	15	2	2014	Siikajoki, Louhua	7158600	417188	hunted	LT	3			Juho Junnila	Was marked as LE?	1	1		LT	1							
366	9	12	2013	Siikajoki, Louhua	7158600	417188	hunted	LT	1			Jaakko Laitala		1	1		LT	1							
367			2014	Haapaselkä, Louhua	7155290	412978	hunted	LT	1			Kalevi Pura		1	1	1	LT	1							
368	5	1	2014	Haapaselkä, Louhuan Ylipää	7155290	412978	hunted	LT	1			Kalevi Pura		1	1		LT	1							
369			2014	Louhua, Jääräsuo, Nuolimaa	7159761	414180	hunted	LE?	3			Kalevi Pura		1	1		LT	1							
370	8	1	2014	Pohjoisenkangas, Louhua, Ylipää	7158360	414378	hunted	LT	1			Kalevi Pura		1	1		LT	1							
371			2014	Louhua, Laitamaa	7156550	416318	hunted	LT	1			Kalevi Pura		1	1		LT	1							
372			2014	Louhua, Hautakangas	7164151	393703	hunted	LT	1			Kalevi Pura		1	1		LT	1							
373	2	1	2014	Louhua, Jääräkangas	7229072	463153	hunted	?	?			Kalevi Pura		1	1		LT	1							
374	10	2	2014	Joensuu, Suhmura	6930701	648682	hunted	LT	1			Ismo Pölönen		1	1		LT	1							
375	23	2	2014	Outokumpu	6957923	601670	hunted	LT	1			Jaakko Pohjoismäki		1	1		LE	1							
376	24	2	2014	Outokumpu	6957923	601670	hunted	LT	1			Jaakko Pohjoismäki	DNA sakkainen	1	1		LT	1							
377	23	2	2014	Outokumpu	6957923	601670	hunted	LE	5			Jaakko Pohjoismäki		1	1		LE	1							
378	11	3	2014	Joensuu, Linnunlahti	6944551	640041	found dead	LE	5	M	AD	UEF	"""Laila"""	1	1		LE	1							
379	22	2	2014	Punkaharju, Enonniemi	6851678	627299	hunted	LT	1			Markku Tiainen		1			LT	1							1
380	25	11	2013	Juuka, Timovaara	6999822	617173	hunted	LT	1			Markku Haapalainen	Näyte kuiva, DNA sakkainen	1	1		LT	1							
381	24	1	2014	Sotkamo, Eevala	7109258	557231	hunted	LT	1			Markku Haapalainen		1	1		LT	1							
382	5	1	2014	Juuka, Timovaara	6999312	617855	hunted	LT	1			Markku Haapalainen	Näyte kuiva, DNA sakkainen	1	1		LT	1							
383	6	3	2014	Joensuu, Yliopistokatu	6944398	640840	hit by car	LE	5			Mervi Kunnasranta		1	1		LE	1							
384	12	3	2014	Muhos (25 km Kajaanin suuntaan)	7183976	468757	hit by car	LT	1			RKTL		1	1		LT	1							
385	28	1	2014	Rautalampi, Tervaharju	6952383	474356	hunted	LT	1			Vesa ja Sirpa Rautio	DNA sakkainen	1	1		LT	1							
386	6	2	2014	Putkisaari, Tervo	6991991	478486	hunted	LT	1			Vesa ja Sirpa Rautio		1	1		LT	1							
387	11	2	2014	Konnevesi, Istunmäki, Heinämäki	6949765	472364	hunted	LT	1			Vesa ja Sirpa Rautio		1	1		LT	1							
388	9	2	2014	Konnevesi,  Mäkäräniemi, Iisilä	6944517	476818	hunted	LT	1			Vesa ja Sirpa Rautio		1	1		LT	1							
389	13	2	2014	Rautalampi, Kerkonkoski, Vihtajärvi	6964624	481559	hunted	LT	1			Vesa ja Sirpa Rautio		1	1		LT	1							
390	10	2	2014	Sääksjärvi, Rantala, Rautalampi	6951786	483799	hunted	LT	1			Vesa ja Sirpa Rautio		1	1		LT	1							
391	12	2	2014	Lierosaari, Haukivuori, Taipale	6886602	492358	hunted	LT	1			Vesa ja Sirpa Rautio	DNA sakkainen	1	1		LT	1							
392	12	2	2014	Lierosaari, Haukivuori, Taipale	6886602	492358	hunted	LT	1			Vesa ja Sirpa Rautio		1	1		LT	1							
393	12	2	2014	Lierosaari, Haukivuori, Taipale	6886602	492358	hunted	LT	1			Vesa ja Sirpa Rautio		1	1		LT	1							
394	26	1	2014	Konnevesi, Heinämäki	6949765	472364	hunted	LT	1			Vesa ja Sirpa Rautio	DNA sakkainen	1	1		LT	1							
395	10	1	2014	Pieksämäki, Heinämäki	6913317	516375	hunted	LT	1			Vesa ja Sirpa Rautio	Näyte kuiva	1	1		LT	1							
396	24	2	2014	Haukivuori, Taipale, Lierosaari	6886602	492358	hunted	LT	1			Vesa ja Sirpa Rautio		1	1		LT	1							
397	18	2	2014	Mikkeli, Alamaa	6852731	518293	hunted	LT	1			Kari Hämäläinen		1	1	1	LT	1							
398	7	12	2013	Punkaharju, Ruununmäki	6847628	634074	hunted	LT	1			Aku Sarjanen		1	1	1	LT	1							
399	7	12	2013	Punkaharju, Ruununmäki	6847628	634074	hunted	LT	2			Aku Sarjanen		1	1		LT	1							
400	9	2	2014	Punkaharju, Enanniemi	6851678	627299	hunted	LT	2			Aku Sarjanen	DNA samea	1	1	1	LT	1							
401	2	2	2013	Punkaharju, Ristiniemi	6827247	619450	hunted	LE	5			Aulis Uimonen		1	1		LE	1							1
402			2014	Joensuu, Iiksenvaara	6943027	646933	hunted	LT	1			Kari Ratilainen		1	1		LT	1							1
403			2014	Joensuu, Iiksenvaara	6943027	646933	hunted	LT	1			Kari Ratilainen		1	1		LT	1							
404			2014	Joensuu, Iiksenvaara	6943027	646933	hunted	LT	1			Kari Ratilainen		1	1	1	LT	1							
405			2014	Joensuu, Iiksenvaara	6943027	646933	hunted	LT	1			Kari Ratilainen		1	1		LT	1							
406			2014	Joensuu, Iiksenvaara	6943027	646933	hunted	LT	1			Kari Ratilainen		1	1		LT	1							
407			2014	Joensuu, Iiksenvaara	6943027	646933	hunted	LT	1			Kari Ratilainen		1	1		LT	1							
408			2014	Joensuu, Iiksenvaara	6943027	646933	hunted	LT	1			Kari Ratilainen		1	1	1	LT	1							
409			2014	Joensuu, Iiksenvaara	6943027	646933	hunted	LT	1			Kari Ratilainen		1	1		LT	1							
410			2014	Joensuu, Iiksenvaara	6943027	646933	hunted	LT	1			Kari Ratilainen		1	1		LT	1							
411			2014	Joensuu, Iiksenvaara	6943027	646933	hunted	LT	1			Kari Ratilainen		1	1	1	LT	1							
412			2014	Joensuu, Iiksenvaara	6943027	646933	hunted	LT	1			Kari Ratilainen		1	1		LT	1							
413			2014	Joensuu, Iiksenvaara	6943027	646933	hunted	LT	1			Kari Ratilainen		1	1		LT	1							
414	8	1	2014	Suhmura	6930701	648682	hunted	LT	1			Ismo Pölönen		1	1		LT	1							
415	23	2	2014	Suhmura	6930701	648682	hunted	LT	1			Ismo Pölönen	DNA samea	1	1	1	LT	1							
416	11	1	2014	Punkaharju, Ruununmäki	6847628	634074	hunted	LT	1			Esa Niemi	DNA samea	1	1		LT	1							
417	2	2	2014	Punkaharju, Ruununmäki	6847628	634074	hunted	LT	1			Jukka Lehto/Aku Sarjanen		1	1		LT	1							
418	2	2	2014	Punkaharju, Sorvasranta	6843448	628581	hunted	LE	5			Matti Vahimaa/ Aku Sarjanen		1	1		LE	1							
419	9	2	2014	Punkaharju, Sorvasranta	6843448	628581	hunted	LE	5			Jukka Lehto/Aku Sarjanen		1	1		LE	1							
420	22	12	2014	Punkaharju, Ruununmäki	6847628	634074	hunted	LT	2			Aku Sarjanen		1	1		LT	1							
421	1	1	2014	Punkaharju, Ruununmäki	6847628	634074	hunted	LT	1			Aku Sarjanen	Paino: 4,27 kg	1	1		LT	1							
422	6	1	2014	Punkaharju, Vaahterikko	6843448	366207	hunted	LT	1			Jukka Lehto/Aku Sarjanen		1	1		LT	1							
423	28	12	2014	Punkaharju, Ruununmäki	6847628	634074	hunted	LT	2			Jukka Lehto/Aku Sarjanen	mtDNA tulos epäselvä	1	1	1									
424	26	2	2014	Joensuu, Linnunniemi	6943815	639591	found dead	LT	1			Mervi Kunnasranta ja Helmi	Löydetty jalka, näyte kuiva ja lihasta vähän	1	1		LT	1							
425	16	2	2014	Joensuu, Kuusitie 5	6944490	639920	found dead	LE	5			Mervi Kunnasranta ja Helmi	Löydetty jalka, näyte kuiva ja lihasta vähän	1	2	1	X	1							
426	9	2	2014	Rantasalmi, Putkisalo	6876880	575340	hunted	LT	1			Axel Werterstråhle	Tumman ruskeat silmät, valkea	1	1		LT	1							
427	9	2	2014	Rantasalmi, Putkisalo	6876880	575340	hunted	LT	2			Axel Werterstråhle	Pitkät korvat, ruskeat silmät, valkea	1	1		LT	1							
428	2	2	2014	Rantasalmi, Putkisalo	6876880	575340	hunted	LE	5			Axel Werterstråhle		1	1		LE	1							
429	9	2	2014	Rantasalmi, Putkisalo	6876880	575340	hunted	LE	5			Axel Werterstråhle	Ruskea karva, vaaleat silmät	1	1		LE	1							
430	2	2	2014	Rantasalmi, Putkisalo	6876880	575340	hunted	LE	5			Axel Werterstråhle	mtDNA tulos epäselvä	1	1	1									
431	2	2	2014	Rantasalmi, Putkisalo	6876880	575340	hunted	LT	1			Axel Werterstråhle	Mustat silmät, DNA samea	1	1		LT	1							
432	2	2	2014	Rantasalmi, Putkisalo	6876880	575340	hunted	LE?	3			Axel Werterstråhle	Melko valkoinen	1	1		LT	1							
433	11	1	2014	Hirvensalmi	6834159	488689	hunted	LT	1			Veini Tyyskä		1	2	1	LT	1							
434	23	11	2013	Hirvensalmi	6834159	488689	hunted	LT	1			Veini Tyyskä		1	2	1	LT	1							
435	5	2	2014	Hirvensalmi, Hurrilan kylä	6839300	479438	hunted	LT	1			Juha Kämppi		1	2	1	LT	1							
436	1	1	2014	Hirvensalmi, Hurrilan kylä	6839300	479438	hunted	LT	1			Juha Kämppi		1	1		LT	1							
437	5	2	2014	Hirvensalmi, Hurrilan kylä	6839300	479438	hunted	LT	1			Juha Kämppi		1	1	1	LT	1							
438	2	2	2014	Hirvensalmi, Hämeenmäki	6838581	477912	hunted	LT	2			Juha Kämppi		1	1	1	LT	1							
439	25	1	2014	Hirvensalmi, Hämeenmäki	6838581	477912	hunted	LT	2			Juha Kämppi		1	1		LT	1							
440	25	1	2014	Hirvensalmi, Hämeenmäki	6838581	477912	hunted	LT	1			Juha Kämppi		1	1	1	LT	1							
441	12	1	2014	Hirvensalmi, Hämeenmäki	6838581	477912	hunted	LT	1			Juha Kämppi		1	1	1	LT	1							
442	4	1	2014	Hirvensalmi, Malvanniemi	6841774	491248	hunted	LT	1			Juha Kämppi		1	1	1	LT	1							
443	8	2	2014	Sulkava	6851526	572671	hunted	LT	1			Juha Kämppi	DNA sakkainen	1	1	1	LT	1							
444	4	1	2014	Hirvensalmi, Malvanniemi	6841774	491248	hunted	LT	1			Juha Kämppi	DNA sakkainen	1	1	1	LT	1							
445	28	1	2014	Hirvensalmi, Hämeenmäki	6838581	477912	hunted	LT	1			Juha Kämppi	DNA sakkainen	1	1		LT	1							
446	8	2	2014	Sulkava	6851526	572671	hunted	LT	1			Juha Kämppi		1	1		LT	1							
447	2	3	2014	Nurmes, Särkivaara	7032460	601985	hit by car	LT	1			Mervi Kunnasranta		1	1		LT	1							
448	17	10	2013	Salla, Palotunturi	7308504	583117	hunted	LT	1			Veijo Hämäläinen		1	1		X	1							
449	23	2	2014	Rasiaho	6863600	508908	hunted	LE?	3			Pekka Oinonen	DNA sakkainen	1	1		X	1							
450	28	2	2014	Kouvola, Valkeala, Anttila, Soidinsuo	6766739	493494	hunted	LT	1			Tarja ja Jussi Kolkka		1	1		LT	1							
451	22	1	2014	Imatra	6783580	594318		LE	4	F	AD	Evira	E20140129-032	1	2	1	X	1							
452	24	2	2014	Kouvola, Anttila, Mustankorvensuo	6767843	491239	hunted	LT	2			Tarja ja Jussi Kolkka		1	1	1	LT	1							
453		4	2014	Iisalmi, Likovaara	7053837	514274	found dead	LT	1			Teemu Tolonen		1	1	1	LT	1							
454	27	4	2014	Kesälahti, Hummovaara	6885254	638802	hit by car	LT	1			Mervi Kunnasranta		1	1	1	LT	1							
455	6	12	2013	Ylitornio, Koivistonpää	7365720	363426		LT	1			Evira	E20131217-020, mädän oloinen	1	1	1	LT	1							
456	19	1	2014	Kuopio	6973853	535023		LT	2	M	AD	Evira	E20140121-047	1	1		LT	1							
457	16	11	2013	Muhos	7188276	452257		LE	5		JUV	Evira	E20131120-096	1	1		LE	1							1
458	20	11	2013	Kannonkoski	6984168	411976		LT	1	F	JUV	Evira	E20131122-019	1	1		LT	1							
459	14	12	2013	Hyvinkää	6723910	382333		LE	5	F	JUV	Evira	E20131220-056	1	1		LE	1							
460	1	2	2014	Muonio	7541614	360479		LT	1	F	AD	Evira	E20140214-065	1	1		LT	1							
461	27	11	2013	Jyväskylä	6901595	436020		LE	4	M	JUV	Evira	E20131129-023	1	1		LE	1							
462	14	11	2013	Pyhäjärvi	7061959	449830		LT	1	M	JUV	Evira	E20131118-028	1	2	1	X								
463	29	10	2013	Hyvinkää	6723910	382333		LT	1	F	AD	Evira	E20131203-013	1	1	1	LT	1							
