Sample #	Day	Month	Year	Place	ETRS-TM 35FIN		Cause of Death	Hunter's evaluation		Sex	Age	Sender	Notes	Tissue -80 deg	Extracted DNA -20 deg	Purified DNA	MtDNA	Results checked	Nuclear DNA					NGS/Vienna	SNP chip/Sweden
					N	E		Species	Code 1-5								Cytb		Tshd	Tg	Mgf	Sptbn1	Prck1		
53	16	9	2013	Iitti	6750693	463367		LE	5			Evira	E20130918-056	1	1		LE	1							
54	23	5	2013	Oulu	7210860	427991		LE	5			Evira	E20130523-103	1	1		LE	1							
55	17	10	2013	Parikkala	6826974	631793		LE	5			Evira	E20131022-097	1	1		LE	1							
56	24	8	2013	Heinävesi	6923142	583320		LT	1			Evira	E20130827-091	1	1		LT	1							
57	9	9	2013	Kontiolahti	6962774	645191		LE	5			Evira	E20130912-037	1	1		LE	1							
58	25	8	2013	Iisalmi	7047963	509228		LE	5			Evira	E20130827-084	1	1		LE	1							
59	16	9	2013	Pori	6827488	224391		LE	5			Evira	E20130918-066	1	1		LE	1							
60			2013	Kokkola	7086341	307353		LT	1			Evira	E20130919-099	1	1		LT	1							
61	27	9	2013	Siilinjärvi	6994816	532103		LT	1			Evira	E20131002-127	1	1		LT	1							
62	18	5	2013	Kaavi	6983872	575078		LT	1			Evira	E20130522-019	1	1		LT	1							
63	11	4	2013	Oulu	7210860	427991		LE	5			Evira	E20130412-083	1	1		LE	1							
64	19	8	2013	Rauma	6790411	204332		LE	5			Evira	E20130822-010	1	1		LE	1							1
65	5	8	2013	Kolari	7471450	361845		LT	1			Evira	E20130806-066	1	1		LT	1							
66			2013	Lieksa	7023933	650516		LT	1			Evira	E20130726-050	1	1		LT	1							1
67	3	8	2013	Tervola	7330746	401315		LT	1			Evira	E20130806-067	1	1		LT	1							1
68	10	5	2013	Paltamo	7142903	540104		LT	1			Evira	E20130515-129	1	1		LT	1							
69			2013	Kouvola	6749051	485180		LE	5			Evira	E20130913-116	1	1		LE	1							
70	5	8	2013	Savonlinna	6861104	598799		LE	5			Evira	E20130807-063	1	1		LE	1							1
71			2013	Siilinjärvi	6994816	532103		LE	5			Evira	E20130903-007	1	1		LE	1							
72	25	8	2013	Siilinjärvi	6994816	532103		LE	5			Evira	E20130827-089	1	1		LT	1							1
73	26	4	2013	Pertunmaa	6818940	472541		LE	5			Evira	E20130430-053	1	1		LE	1							
74	23	3	2013	Luvia	6805346	373413		LE	5			Evira	E20130326-121	1	1		LE	1							
75	3	2	2013	Närpiö	6940101	208672		LE	5			Evira	E20130220-120	1	1		LE	1							1
76	17	2	2013	Lemi	6770117	543587		LE	5			Evira	E20130227-134	1	1		LE	1							
77	2	2	2013	Kempele	7200729	427825		LE	5			Evira	E20130227-007	1	1		LE	1							
78	1	10	2013	Vieremä	7069149	500761		LE	5			Evira	E20131003-100	1	1		LT	1							
