#Testseq	
	
#S431_ArnicaRAD_TP1_1_S1	
Xba08-Eco03	AM204_27
Xba09-Eco03	AM205_04
Xba10-Eco03	AM203_21
Xba11-Eco03	AM201_02
Xba12-Eco03	AM102_18
Xba01-Eco04	AM204_09
Xba02-Eco04	AM205_03
Xba03-Eco04	AM204_05
Xba04-Eco04	AM201_20
Xba05-Eco04	AM203_05
Xba06-Eco04	AM203_04
Xba07-Eco04	AM201_08
Xba08-Eco04	AM202_04
Xba09-Eco04	AM204_07
Xba10-Eco04	AM104_03
Xba11-Eco04	AM203_27
Xba12-Eco04	AM103_19
Xba01-Eco05	AM201_18
Xba02-Eco05	AM204_26
Xba03-Eco05	AM203_28
Xba04-Eco05	AM203_03
Xba05-Eco05	AM203_08
Xba06-Eco05	AM204_06
Xba07-Eco05	AM201_03
Xba08-Eco05	AM201_22
Xba09-Eco05	AM204_08
Xba10-Eco05	AM203_23
Xba11-Eco05	AM201_14
Xba12-Eco05	AM46_12
Xba01-Eco06	AM203_18
Xba02-Eco06	AM102_22
Xba03-Eco06	AM204_22
Xba04-Eco06	AM204_03
Xba05-Eco06	AM202_03
Xba06-Eco06	AM204_29
Xba07-Eco06	AM203_13
Xba08-Eco06	AM201_19
Xba09-Eco06	AM46_10
Xba10-Eco06	AM203_14
Xba11-Eco06	AM201_05
Xba12-Eco06	AM202_06
Xba01-Eco07	AM203_01
Xba02-Eco07	AM46_02
Xba03-Eco07	AM204_10
Xba04-Eco07	AM203_20
Xba05-Eco07	AM103_26
Xba06-Eco07	AM37_05
Xba07-Eco07	AM203_29
Xba08-Eco07	AM203_07
Xba09-Eco07	AM102_16
Xba10-Eco07	AM102_17
Xba11-Eco07	AM204_25
Xba12-Eco07	AM203_12
Xba01-Eco08	AM204_04
Xba02-Eco08	AM204_19
Xba03-Eco08	AM204_14
Xba04-Eco08	AM201_15
Xba05-Eco08	AM204_23
Xba06-Eco08	AM204_30
Xba07-Eco08	AM201_04
Xba08-Eco08	AM204_01
Xba09-Eco08	AM101_09
Xba10-Eco08	AM103_18
Xba11-Eco08	AM102_10
Xba12-Eco08	AM101_07
	
#S309_ArnicaRAD_TP3_1_S1	
Barcode_combination	individualID
Xba01-Eco01	N3
Xba02-Eco01	LAG_LIF544
Xba03-Eco01	AM09_03
Xba04-Eco01	AM21_34
Xba05-Eco01	GER03_317
Xba06-Eco01	GER03_324
Xba07-Eco01	NET01_1088
Xba08-Eco01	GER03_331
Xba09-Eco01	GER03_330
Xba10-Eco01	NET01_1077
Xba11-Eco01	GER03_319
Xba12-Eco01	GER07_317b
Xba01-Eco02	NET01_1081
Xba02-Eco02	NOR01_1609
Xba03-Eco02	SWE01_1426
Xba04-Eco02	NOR03_396
Xba05-Eco02	AM102_03
Xba06-Eco02	SWE01_1417
Xba07-Eco02	NET01_1082
Xba08-Eco02	GER07_314
Xba09-Eco02	GER07_304
Xba10-Eco02	AM21_52
Xba11-Eco02	LAG_LIF546
